OLD,NEW
button6,button17
button7,button12
button8,button13
button9,button14
button10,button15
button11,button16
button13,button7
button14,button8
button15,button9
button16,button10
button17,button11
button18,button22
button19,button23
button20,button24
button21,button18
button22,button19
button23,button20
button24,button21
z,rotz
