OLD,NEW
button10,button12
button12,button10
button13,button18
button14,button13
button15,button14
button16,button17
button17,button16
button18,button15
button21,button22
button22,button21
button23,button26
button24,button27
button25,button30
button26,button29
button27,button28
button28,button23
button29,button24
button30,button25
z,rotz
